1	1.8907	19824	140.798
2	1.8921	19948	141.237
3	1.8935	19638	140.136
4	1.8949	19521	139.718
5	1.8963	19564	139.871
6	1.8977	19573	139.904
7	1.8991	19257	138.77
8	1.9005	19574	139.907
9	1.9019	18926	137.572
10	1.9033	19171	138.459
11	1.9047	18936	137.608
12	1.9061	19251	138.748
13	1.9075	18977	137.757
14	1.9089	18757	136.956
15	1.9103	18811	137.153
16	1.9117	18495	135.996
17	1.9131	18474	135.919
18	1.9145	18498	136.007
19	1.9159	18203	134.918
20	1.9173	18297	135.266
21	1.9187	17972	134.06
22	1.9201	18266	135.152
23	1.9215	18244	135.07
24	1.9229	17885	133.735
25	1.9243	17932	133.91
26	1.9257	17969	134.048
27	1.9271	17676	132.951
28	1.9285	17426	132.008
29	1.9299	17614	132.718
30	1.9313	17696	133.026
31	1.9327	17590	132.627
32	1.9341	17581	132.593
33	1.9355	17358	131.75
34	1.9369	17341	131.685
35	1.9383	17294	131.507
36	1.9397	16904	130.015
37	1.9411	16907	130.027
38	1.9425	17037	130.526
39	1.9439	16892	129.969
40	1.9453	16781	129.541
41	1.9467	16801	129.619
42	1.9481	16745	129.402
43	1.9495	16917	130.065
44	1.9509	16735	129.364
45	1.9523	16861	129.85
46	1.9537	16664	129.089
47	1.9551	16670	129.112
48	1.9565	16959	130.227
49	1.9579	16716	129.29
50	1.9593	17153	130.969
51	1.9607	17715	133.098
52	1.9621	18145	134.703
53	1.9635	17929	133.899
54	1.9649	18533	136.136
55	1.9663	18781	137.044
56	1.9677	19005	137.859
57	1.9691	18924	137.565
58	1.9705	18376	135.558
59	1.9719	18006	134.186
60	1.9733	17743	133.203
61	1.9747	17071	130.656
62	1.9761	16952	130.2
63	1.9775	16383	127.996
64	1.9789	16100	126.886
65	1.9803	15727	125.407
66	1.9817	15448	124.29
67	1.9831	15285	123.633
68	1.9845	15289	123.649
69	1.9859	14997	122.462
70	1.9873	14771	121.536
71	1.9887	14799	121.651
72	1.9901	14622	120.921
73	1.9915	14438	120.158
74	1.9929	14607	120.859
75	1.9943	14566	120.69
76	1.9957	14508	120.449
77	1.9971	14333	119.721
78	1.9985	14375	119.896
79	1.9999	14220	119.248
80	2.0013	14306	119.608
81	2.0027	13976	118.22
82	2.0041	13943	118.08
83	2.0055	14014	118.381
84	2.0069	14074	118.634
85	2.0083	13677	116.949
86	2.0097	13745	117.239
87	2.0111	13731	117.179
88	2.0125	13663	116.889
89	2.0139	13552	116.413
90	2.0153	13541	116.366
91	2.0167	13671	116.923
92	2.0181	13274	115.213
93	2.0195	13440	115.931
94	2.0209	13289	115.278
95	2.0223	13273	115.209
96	2.0237	13252	115.117
97	2.0251	13227	115.009
98	2.0265	13064	114.298
99	2.0279	12958	113.833
100	2.0293	13110	114.499
